,N,xm,nr,ni,p1,p2,p3,taus_out,taua_out
320,8,0.7,1.7,0.013,5.6686593484047965,-0.0045155897919443,-0.0133999137221483,0.0590119917479518,0.012273646961318942
321,10,0.6,1.98,0.019,2.9302452576824725,-0.1045106874174235,-0.2466844734758156,0.06788700855216656,0.015614074900953349
322,9,0.6,1.65,0.023,10.160301998773402,-0.4987570592811327,-0.5687491883132367,0.031171434583906144,0.01984952197715803
323,10,0.6,1.37,0.085,8.131652585246956,-0.6437306089098352,-0.2280079066159896,0.012841780373760579,0.0899763857810832
324,10,0.6,1.66,0.018,3.4022546815792207,-0.7822799763389271,-0.2338905770946506,0.03544459349383479,0.017133180494694658
325,10,0.4,1.88,0.066,7.556887649507002,-1.880645958233723,-0.1972769672316195,0.01084283615811724,0.032215766754930916
326,10,0.4,1.96,0.007,2.0466896291577337,-0.0618214933686126,-0.1363311494420075,0.01227913580560186,0.003246734173309279
327,10,0.6,1.43,0.075,5.491281302904058,-0.5423670466450816,-0.622814825023068,0.016697586457608323,0.07785149600197966
328,10,0.5,1.3,0.082,8.708078343683368,-1.7989390569263477,-0.3160852161987262,0.004332278352854903,0.07227633258364792
329,9,0.6,1.75,0.026,3.0394107794351486,-0.1814885329809639,-0.3482104131067687,0.03980922233557775,0.021441040234880082
330,8,0.5,1.66,0.019,1.1589008927331306,0.0049787375847687,-0.0132566693761288,0.013633285679461333,0.011397988007151177
331,8,0.4,1.71,0.025,1.6605154051411433,-0.0354530327063701,-0.0321696612952483,0.006228090075899753,0.011000444370537684
332,8,0.6,2.02,0.019,2.5217379614674864,-0.0222984375925657,-0.0361842030518919,0.05809909978867323,0.01234315223403114
333,8,0.6,1.88,0.025,3.5551005450229702,-0.0447660914960146,-0.0422443249104827,0.04612358286670767,0.017305965214450814
334,8,0.6,1.67,0.019,1.7206908623263544,-0.0225338150170219,0.0005541490030669,0.029283666109669464,0.014491751901430662
335,10,0.4,1.98,0.023,1.0916194728007955,0.0032376395115229,-0.2584119373473975,0.01264931944660718,0.01052124615005842
336,7,0.6,1.65,0.029,0.1720940880489725,0.0128538639816827,0.0292261719047739,0.024303453277205095,0.019499601000332604
337,8,0.7,1.92,0.029,10.183885684262115,-0.0488732627038407,-0.2614761164909212,0.09379947712052167,0.025359569329893708
338,10,0.5,1.46,0.018,2.039168606053503,-0.0934839977808668,-0.1834130950913052,0.008990456523043321,0.014874095854850401
339,10,0.4,1.35,0.083,1.636763618049577,-0.0178686684104341,-0.0788577442366848,0.0023644158006020277,0.05590188163618195
340,10,0.5,2.02,0.013,10.723914033198962,-2.704081254943717,-0.573554023736786,0.03369474574857043,0.007901195099668175
341,10,0.5,2.03,0.025,2.386496439478724,-0.1115440721750612,-0.1255452571029144,0.0341661522239351,0.015097510844340847
342,10,0.5,1.45,0.083,10.957878272036671,-2.332131984914771,-0.2039410885988248,0.008878930811031246,0.06855331297222056
343,8,0.5,1.77,0.025,9.400912350553432,-0.298463934874776,-0.0465975254467807,0.017589622675980004,0.014100790220009214
344,10,0.6,2.07,0.08,2.697296437723397,-0.4222893002459515,-0.1741382074246742,0.0774677259252679,0.06273960020069845
345,10,0.5,1.94,0.088,7.384634468638723,-0.2908581800391517,-0.5426740344563115,0.02997026301923395,0.055714914972913615
346,10,0.5,1.93,0.03,6.005255174369332,-0.0526985601084829,-0.0940468631915993,0.029364710127123262,0.01917749780389139
347,9,0.6,1.94,0.081,9.690646178484752,-0.2563240199060397,-0.2464769285128695,0.05747396780019231,0.06081818135484215
348,10,0.6,1.92,0.078,11.308580728564907,-2.653028042603299,-0.4574804931825852,0.061515518613166016,0.06545588346386692
349,10,0.6,1.34,0.034,20.887104736774425,-2.4813570590344947,-0.4613807808827371,0.010559353352125215,0.036606740567083663
350,10,0.6,2.04,0.071,5.047372870530552,-0.3537447903860916,-0.171786249973848,0.07422835949994736,0.05647883773829796
