,N,xm,nr,ni,p1,p2,p3
113,10,0.5,1.3,0.082,8.708078343683368,-1.7989390569263475,-0.31608521619872626
114,9,0.6,1.75,0.026,3.0394107794351486,-0.18148853298096393,-0.3482104131067687
115,8,0.5,1.66,0.019,1.1589008927331306,0.0049787375847687235,-0.013256669376128818
116,8,0.4,1.71,0.025,1.6605154051411433,-0.03545303270637017,-0.03216966129524837
117,8,0.6,2.02,0.019,2.5217379614674864,-0.022298437592565706,-0.03618420305189196
118,8,0.6,1.88,0.025,3.5551005450229702,-0.04476609149601462,-0.0422443249104827
119,8,0.6,1.67,0.019,1.7206908623263544,-0.022533815017021914,0.0005541490030669775
120,10,0.4,1.98,0.023,1.0916194728007955,0.0032376395115229356,-0.25841193734739754
121,7,0.6,1.65,0.029,0.17209408804897253,0.01285386398168277,0.029226171904773942
122,8,0.7,1.92,0.029,10.183885684262115,-0.048873262703840716,-0.26147611649092123
123,10,0.5,1.46,0.018,2.039168606053503,-0.09348399778086683,-0.1834130950913052
124,10,0.4,1.35,0.083,1.636763618049577,-0.01786866841043412,-0.07885774423668487
125,10,0.5,2.02,0.013,10.723914033198962,-2.704081254943717,-0.573554023736786
126,10,0.5,2.03,0.025,2.386496439478724,-0.11154407217506127,-0.12554525710291442
127,10,0.5,1.45,0.083,10.957878272036673,-2.332131984914771,-0.20394108859882487
128,8,0.5,1.77,0.025,9.400912350553433,-0.298463934874776,-0.04659752544678071
129,10,0.6,2.07,0.08,2.697296437723397,-0.42228930024595157,-0.17413820742467426
130,10,0.5,1.94,0.088,7.384634468638723,-0.29085818003915176,-0.5426740344563115
131,10,0.5,1.93,0.03,6.005255174369332,-0.05269856010848295,-0.09404686319159938
132,9,0.6,1.94,0.081,9.690646178484752,-0.25632401990603976,-0.2464769285128695
133,10,0.6,1.92,0.078,11.308580728564907,-2.653028042603299,-0.45748049318258527
134,10,0.6,1.34,0.034,20.887104736774422,-2.4813570590344947,-0.4613807808827371
135,10,0.6,2.04,0.071,5.047372870530552,-0.3537447903860916,-0.171786249973848
136,10,0.6,2.02,0.013,7.28355732049337,-0.36767702687222126,-0.4354725718971825
137,8,0.4,1.68,0.03,0.3219322048896003,0.0025802139228783827,0.016300761060719298
138,8,0.7,1.36,0.024,2.7642284303422153,-0.04076135168351553,-0.018082389033060666
139,8,0.5,1.72,0.031,1.6191171716541168,-0.03895008175565604,-0.01659272409007002
140,9,0.6,1.87,0.032,10.775967639232462,-0.1359970769884509,-0.18090811433569484
141,10,0.5,1.91,0.028,10.517931670186833,-0.509266927546465,-0.170105629371705
142,10,0.6,1.97,0.026,12.64325223733745,-3.129930922028288,-0.8073973775642969
143,9,0.4,1.97,0.083,7.235415682139182,-0.014793017734970097,-0.13627991084793428
144,7,0.5,1.88,0.002,0.5971548433648706,0.018195233945927376,0.00972091362736854
145,10,0.6,1.42,0.093,7.8072982104215995,-1.1849316223137678,-0.6127779651567874
146,7,0.5,1.93,0.021,0.3353026026637109,0.0302757011914681,0.008381067448204455
147,9,0.6,1.97,0.027,4.35515393231332,-0.21634568479339697,-0.16235212689008144
148,9,0.7,1.7,0.009,12.258598497260467,-0.5374711629901342,-0.4710802386099171
149,7,0.6,1.89,0.02,1.3300906479732162,-1.4731329139139482,-0.2982398743094456
150,9,0.4,1.94,0.089,7.678556918458605,-0.0511621388375477,-0.23687209043739793
151,10,0.6,1.96,0.017,8.582431819181192,-0.08458756442351767,-0.14330156790163812
152,9,0.5,1.96,0.074,6.93927179716884,-0.0015371051262262278,-0.058243730832950785
153,10,0.6,1.3,0.084,11.607417041873383,-0.07655111260679526,-0.2779257189872888
154,8,0.6,1.7,0.001,2.5174110731117167,-0.020880281044912765,-0.0007804302397001021
155,8,0.5,1.73,0.025,1.713874355695752,0.009379351672323719,-0.017077446923392334
156,7,0.6,2.06,0.044,1.4524777156549822,-0.006330919864395365,-0.11980261049881727
157,9,0.6,1.7,0.078,3.4426736083360883,-0.0026827198079874826,-0.03788560268663844
158,7,0.6,1.7,0.026,1.5719616271297687,0.0247318198298108,0.0009428565924487903
159,9,0.5,2.03,0.013,3.1038510053693855,-0.2988050388033768,-0.1616385031109976
160,8,0.5,1.98,0.03,1.0677840103031473,-0.02776761887410336,0.018398035700960495
161,9,0.4,2.03,0.023,7.496053060310521,-0.13841542688313838,-0.33004475414055223
162,8,0.4,2.0,0.034,1.398385717111699,0.01774256194107727,-0.03343708069754702
163,9,0.6,1.86,0.098,7.265464445643243,-0.0468614966049489,-0.22665985777068515
164,8,0.5,1.44,0.019,1.5976427343136042,-0.12852683350647362,-0.2799440003585345
165,10,0.6,1.99,0.076,9.403905369484496,-2.2680445893049344,-0.5323625273705841
166,9,0.6,1.84,0.082,14.089076973651775,-0.14916399660935498,-0.18179325383852063
167,10,0.6,1.9,0.073,1.694083875451534,-0.02127589698895879,-0.03532534474726182
168,9,0.5,1.42,0.076,2.621332919315874,-0.32044909920344394,-0.4286974422039009
169,10,0.6,1.97,0.092,10.648441953048186,-2.303862297547299,-0.39085406930294275
170,10,0.6,2.04,0.07,6.309474563979798,-2.411596639426106,-0.5598031409962979
171,9,0.5,2.12,0.028,1.8883331994922288,-0.05413707076948167,-0.12210521116313505
172,9,0.5,2.08,0.035,4.107784054396412,-0.09537459829082173,-0.05501730146269474
173,9,0.4,1.9,0.066,10.858241267147644,-0.3065106979969255,-0.5700276358924274
174,9,0.6,1.88,0.077,8.596835178946343,-0.03996793525644824,-0.19818717601961924
175,7,0.5,1.79,0.029,4.598835610193056,-0.16937614659906067,0.012427357217148462
176,9,0.4,2.02,0.022,1.703092965954417,-0.055313673553776255,-0.18639044743427996
177,9,0.4,1.87,0.015,6.787366308889227,-0.24600908911940278,-0.2224765715795377
