,N,xm,nr,ni,taus_out,taua_out,qs_tm,qs_pm,m0,p1,p2,p3,Rf,xm_m0,N_m0,N_xm
37,128,0.48,1.3,0.023,0.0024431910707061,0.0137062621591827,0.211734,0.2319328159780684,0.18755224681131422,0.6183080585982746,-0.00018930479444175495,-0.0013087568908385291,1.3560024070065395,0.09002507846943082,1.200334379592411,61.44
38,128,0.48,1.45,0.023,0.0051763061652382,0.0128085511750113,0.46780720000000003,0.440194572473014,0.26910035208315425,0.6502054429521992,-0.0001500666800995122,-0.0014245148986577582,1.2760359170932933,0.12916816899991404,1.7222422533321873,61.44
39,128,0.48,2.0,0.023,0.0194590068672725,0.009383477707881,2.03955,2.0717863870320077,0.5001322305708222,0.7306930453628558,-0.00010271465603056999,-0.0015782442440451776,1.0802382028466695,0.24006347067399467,3.2008462756532623,61.44
40,128,0.54,1.54,0.055,0.0115481037297281,0.0337603348574687,0.8895500000000001,0.8674408449307542,0.31543090426412945,0.502460807462559,0.00244041668039105,0.00831375013857989,0.7172736279735988,0.1703326883026299,2.0187577872904288,69.12
41,128,0.58,1.3,0.023,0.0051162200823291,0.0169997451192684,0.34057719999999997,0.2989622590782992,0.18755224681131422,0.6938282866515807,-9.787297721808655e-05,-0.002007196276827277,1.3560024070065395,0.10878030315056224,1.200334379592411,74.24
42,128,0.58,1.45,0.023,0.0109694355809624,0.0161148959637412,0.7569104,0.7411904736507919,0.26910035208315425,0.8439064209483377,-0.00024184339018500957,-0.002697576547333302,1.2760359170932933,0.15607820420822946,1.7222422533321873,74.24
43,128,0.58,2.0,0.023,0.0427867276551722,0.0124845710597045,3.256696,3.286926313353173,0.5001322305708222,1.0082609790809767,-0.0008063252162350907,-0.0050059062391074995,1.0802382028466695,0.29007669373107686,3.2008462756532623,74.24
44,128,0.6,1.68,0.02,0.026282159398492,0.0132848670028884,1.8366,1.8577349923555606,0.37807171453170224,0.4285503902352477,0.0041610073398037906,0.012013726381225553,1.235056122105173,0.22684302871902134,2.4196589730028943,76.8
45,128,0.6,1.84,0.05,0.0374222377497846,0.0307580313360771,2.546252,2.600596712674746,0.4437587516881427,1.5119222639003733,-0.0013437077824352828,-0.0073725460835508275,0.7376731133432122,0.2662552510128856,2.8400560108041137,76.8
46,128,0.64,1.3,0.001,0.0074725596330919,0.0008325425667259,0.4459088,0.3780631317010585,0.1869929306910146,0.7081953377008696,-0.00043402397017277584,-0.002086571512550758,1.6728591874378875,0.11967547564224935,1.1967547564224936,81.92
47,128,0.64,1.3,0.023,0.0074839418947088,0.0190708186436009,0.43433439999999995,0.3643603534610009,0.18755224681131422,1.027853454457859,-0.0008074883491079356,-0.0038548235677946636,1.3560024070065395,0.1200334379592411,1.200334379592411,81.92
48,128,0.64,1.3,0.09,0.008018576013602,0.0737561004360707,0.4264716,0.3858755856623488,0.1954102188797921,2.0082714305355953,-0.001435342006666701,-0.009418676427386067,0.30342494581220536,0.12506254008306694,1.2506254008306694,81.92
49,128,0.64,1.68,0.001,0.0342138477928831,0.0007302132587621,2.1732,2.2505725427945737,0.3779035403546397,0.9954303819693402,-0.0009662394584999817,-0.004959415434655203,1.61319924438571,0.2418582658269694,2.418582658269694,81.92
50,128,0.64,1.68,0.004,0.0341972796024833,0.0029194977317025,2.162168,2.2386593119357503,0.37790986393688075,1.048676778989387,-0.0011161436349695214,-0.005234279719236031,1.56363675785278,0.2418623129196037,2.418623129196037,81.92
