,N,xm,nr,ni,p1,p2,p3
150,9,0.6,1.98,0.019,1.4685644225014527,0.02822445364567728,-0.020288169948257447
151,9,0.6,1.73,0.019,1.462940543521976,-0.04231244647115143,-0.1886470704167366
152,9,0.6,1.47,0.03,11.438509504354428,-0.5628504075013446,-0.35543142957602475
153,9,0.6,2.04,0.097,11.04617292835431,-0.44788163282720245,-0.35176124930774955
154,10,0.5,1.33,0.093,9.184802202922238,-0.4887424354397213,-0.2305100824643187
155,10,0.7,1.74,0.019,18.975451072018835,-2.2747977728929714,-0.46706878137627256
156,10,0.6,2.01,0.016,5.417757965153908,-0.3604458741023811,-0.4469248734007478
157,10,0.6,1.3,0.025,2.0703108559246224,-0.017910882141821727,-0.10504683420671104
158,10,0.7,1.36,0.082,1.5896915953709105,-0.032937609641124556,-0.02629319205010415
159,9,0.5,1.92,0.082,7.788001956780726,-0.3718494738214034,-0.26730724762288055
160,10,0.6,1.3,0.032,15.208954950662207,-2.4893280263724926,-0.6405031107140333
161,10,0.6,1.3,0.036,8.183278579534939,-2.2164848776544845,-0.48187896784891093
162,9,0.7,1.67,0.041,7.578078108406548,-0.6526987776464817,-0.26757363322814515
163,9,0.6,2.0,0.08,1.2408404528895618,0.04304577254221372,-0.007844313152917025
164,10,0.5,1.92,0.094,11.215671221893677,-1.4748770991451428,-0.414983854506006
165,9,0.7,1.71,0.096,15.558345472014931,-0.6808152032968142,-0.7488299578756412
166,9,0.5,1.92,0.086,6.164875366784905,-0.20544350726194813,-0.16834617725770537
167,10,0.4,1.94,0.089,2.552161127415962,-0.023338461062846677,-0.1726699070691222
168,9,0.7,2.03,0.037,2.319380082526197,-1.3336820681048274,-0.5369877910216722
169,10,0.6,1.4,0.032,5.642181163195752,-1.8961116535119056,-0.3386337680693403
170,10,0.7,1.34,0.041,2.777366400132286,-0.0662994259050151,-0.12176418977629347
171,10,0.4,1.33,0.026,1.3091632772877762,-0.01362374622073223,-0.10597672494565208
172,9,0.6,1.66,0.037,4.233365725859247,-0.10074073771541406,-0.11095845875108545
173,10,0.7,1.38,0.025,2.071036760946317,-0.04798799842857621,-0.1374723316270406
174,9,0.4,1.9,0.037,4.604377457699319,-0.1327202540608273,-0.09574664056710772
175,9,0.5,1.34,0.023,7.4200736070590505,-0.12751618571177886,-0.17664058679729994
176,9,0.7,1.95,0.091,2.598433962791205,-0.019706983283179994,-0.042688007734184824
177,10,0.5,1.98,0.087,9.925600293527841,-1.7403353630289802,-0.22239554063112865
178,10,0.6,1.36,0.023,3.746893956229405,-0.03151320068934419,-0.18557842956423
179,10,0.4,1.31,0.084,7.533812577176336,-0.06329304604118528,-0.11718344913879339
