parameter;Model;N;Xm;nr;ni;Value
maxpol;par;1024;0.437;1.66;0.00200;0.939363703
maxpol;par;1024;0.448;1.71;0.04500;0.9284559311
maxpol;par;1024;0.504;1.71;0.04500;0.9067166716
maxpol;par;1024;0.640;1.30;0.00100;0.9695520612
maxpol;par;1024;0.640;1.30;0.00438;0.9696661901
maxpol;par;1024;0.640;1.30;0.02260;0.9701170225
maxpol;par;1024;0.640;1.30;0.04500;0.9703145676
maxpol;par;1024;0.640;1.30;0.09000;0.969615003
maxpol;par;1024;0.640;1.68;0.00100;0.8464588057
maxpol;par;1024;0.640;1.68;0.00438;0.8469875147
maxpol;par;1024;0.640;1.71;0.02260;0.8376019058
maxpol;par;1024;0.640;1.71;0.04500;0.8407030112
maxpol;par;1024;0.640;1.71;0.09000;0.8455321147
maxpol;par;1024;0.640;2.00;0.00438;0.7085577248
maxpol;par;1024;0.640;2.00;0.02260;0.7131581055
maxpol;par;1024;0.640;2.00;0.04500;0.7184366814
maxpol;par;1024;0.640;2.00;0.09000;0.7275803734
maxpol;par;1024;0.832;1.71;0.04500;0.7154279249
maxpol;par;128;0.168;1.66;0.00200;0.9930097609
maxpol;par;128;0.235;1.66;0.00200;0.9906368136
maxpol;par;128;0.320;1.71;0.04500;0.9792744888
maxpol;par;128;0.336;1.30;0.00100;0.9956954339
maxpol;par;128;0.336;1.30;0.00438;0.995699571
maxpol;par;128;0.336;1.66;0.00200;0.9795711691
maxpol;par;128;0.336;1.68;0.00100;0.9784385468
maxpol;par;128;0.336;1.68;0.00438;0.9784598027
maxpol;par;128;0.336;2.00;0.00100;0.9592856695
maxpol;par;128;0.336;2.00;0.00438;0.9593191666
maxpol;par;128;0.437;1.66;0.00200;0.963420168
maxpol;par;128;0.448;1.71;0.04500;0.9565325438
maxpol;par;128;0.504;1.71;0.04500;0.943443194
maxpol;par;128;0.640;1.30;0.00100;0.9817729721
maxpol;par;128;0.640;1.30;0.00438;0.9818189304
maxpol;par;128;0.640;1.68;0.00100;0.9082313064
maxpol;par;128;0.640;1.68;0.00438;0.908451285
maxpol;par;128;0.640;2.00;0.00438;0.825748456
maxpol;par;128;0.832;1.71;0.04500;0.8269892326
maxpol;par;256;0.168;1.66;0.00200;0.9947438155
maxpol;par;256;0.235;1.66;0.00200;0.9892114116
maxpol;par;256;0.320;1.71;0.04500;0.9757900765
maxpol;par;256;0.336;1.30;0.00100;0.9949697135
maxpol;par;256;0.336;1.30;0.00438;0.9949760855
maxpol;par;256;0.336;1.66;0.00200;0.9760571365
maxpol;par;256;0.336;1.68;0.00100;0.9747262272
maxpol;par;256;0.336;1.68;0.00438;0.9747554954
maxpol;par;256;0.336;2.00;0.00100;0.9521817218
maxpol;par;256;0.336;2.00;0.00438;0.9522270704
maxpol;par;256;0.437;1.66;0.00200;0.9568133376
maxpol;par;256;0.448;1.71;0.04500;0.9487970611
maxpol;par;256;0.504;1.71;0.04500;0.9332915609
maxpol;par;256;0.640;1.30;0.00100;0.978395775
maxpol;par;256;0.640;1.30;0.00438;0.9784593931
maxpol;par;256;0.640;1.68;0.00100;0.8911408508
maxpol;par;256;0.640;1.68;0.00438;0.8914403176
maxpol;par;256;0.640;2.00;0.00438;0.7933027379
maxpol;par;256;0.832;1.71;0.04500;0.7958547635
maxpol;par;512;0.168;1.66;0.00200;0.9939949529
maxpol;par;512;0.235;1.66;0.00200;0.987417055
